gene	ensg	gene_group	Family_count	Family_connection	PS3	BS3	External_Eval	Exclusion	Training_set
ALPL	ENSG00000162551	Alkaline phosphatases	1	1	102	47	1	0	0
MLH1	ENSG00000076242	MutL homologs	1	3	275	51	1	0	0
NPC1	ENSG00000141458	Solute carrier family 65	1	2	395	223	1	0	0
MSH2	ENSG00000095002	MutS homologs	1	3	172	641	1	0	0
POMC	ENSG00000115138	Neuropeptides	1	3	170	1406	0	0	1
PCSK1	ENSG00000175426	Proprotein convertase subtilisin/kexin family	1	2	2622	1830	1	0	0
GCK	ENSG00000106633	Hexokinase family	1	2	1661	2214	0	0	1
KCNQ4	ENSG00000117013	Potassium voltage-gated channels	1	14	120	3963	1	0	0
CUL7	ENSG00000044090	3M complex subunits	2	1	1	0	0	0	1
NT5E	ENSG00000135318	5'-nucleotidases	2	1	1	0	0	0	1
FTSJ1	ENSG00000068438	7BS 2'O-ribose DNA/RNA methyltransferases	2	1	1	0	0	0	1
TRMT1	ENSG00000104907	7BS DNA/RNA methyltransferases	3	1	1	0	0	0	1
GPR143	ENSG00000101850	7TM uncharacterized proteins	1	1	1	0	0	0	1
ATAD1	ENSG00000138138	AAA ATPases	1	11	1	0	0	0	1
ORC4	ENSG00000115947	AAA ATPases	2	11	1	0	0	0	1
CLPB	ENSG00000162129	AAA ATPases	3	11	1	0	0	0	1
ASCC1	ENSG00000138303	Activating signal cointegrator 1 complex	1	2	1	0	0	0	1
TRIP4	ENSG00000103671	Activating signal cointegrator 1 complex	2	2	1	0	0	0	1
ACAD8	ENSG00000151498	Acyl-CoA dehydrogenase family	2	8	1	0	0	0	1
ACSF3	ENSG00000176715	Acyl-CoA synthetase family	1	2	1	0	0	0	1
SLC27A4	ENSG00000167114	Acyl-CoA synthetase family	2	2	1	0	0	0	1
ADAM22	ENSG00000008277	ADAM metallopeptidase domain containing	1	1	1	0	0	0	1
AP1S1	ENSG00000106367	Adaptor related protein complex 1	2	1	1	0	0	0	1
AP4S1	ENSG00000100478	Adaptor related protein complex 4	1	2	1	0	0	0	1
AMPD3	ENSG00000133805	Adenosine deaminase family	1	4	1	0	0	0	1
AK2	ENSG00000004455	Adenylate kinases	1	1	1	0	0	0	1
ADGRB2	ENSG00000121753	"Adhesion G protein-coupled receptors, subfamily B"	2	1	1	0	0	0	1
ADGRG1	ENSG00000205336	"Adhesion G protein-coupled receptors, subfamily G"	1	1	1	0	0	0	1
OPHN1	ENSG00000079482	AH/BAR family Rho GTPase activating proteins	1	1	1	0	0	0	1
NF2	ENSG00000186575	A-kinase anchoring proteins	2	3	1	0	0	0	1
WASF1	ENSG00000112290	A-kinase anchoring proteins	3	3	1	0	0	0	1
AKT2	ENSG00000105221	AKT kinase family	3	2	1	0	0	0	1
AKR1D1	ENSG00000122787	Aldo-keto reductases	1	1	1	0	0	0	1
CTNNA3	ENSG00000183230	Alpha catenins	2	1	1	0	0	0	1
LARS1	ENSG00000133706	"Aminoacyl tRNA synthetases, Class I"	1	9	1	0	0	0	1
CARS1	ENSG00000110619	"Aminoacyl tRNA synthetases, Class I"	1	9	1	0	0	0	1
VARS2	ENSG00000137411	"Aminoacyl tRNA synthetases, Class I"	1	9	1	0	0	0	1
YARS2	ENSG00000139131	"Aminoacyl tRNA synthetases, Class I"	1	9	1	0	0	0	1
QARS1	ENSG00000172053	"Aminoacyl tRNA synthetases, Class I"	2	9	1	0	0	0	1
AARS2	ENSG00000124608	"Aminoacyl tRNA synthetases, Class II"	1	9	1	0	0	0	1
HARS2	ENSG00000112855	"Aminoacyl tRNA synthetases, Class II"	1	9	1	0	0	0	1
ANKRD11	ENSG00000167522	Ankyrin repeat domain containing	1	22	1	0	0	0	1
ANKRD26	ENSG00000107890	Ankyrin repeat domain containing	1	22	1	0	0	0	1
NFKBIA	ENSG00000100906	Ankyrin repeat domain containing	1	22	1	0	0	0	1
RFXANK	ENSG00000064490	Ankyrin repeat domain containing	1	22	1	0	0	0	1
TNNI3K	ENSG00000116783	Ankyrin repeat domain containing	1	22	1	0	0	0	1
CLPB	ENSG00000162129	Ankyrin repeat domain containing	3	22	1	0	0	0	1
HACE1	ENSG00000085382	Ankyrin repeat domain containing	2	22	1	0	0	0	1
EHMT2	ENSG00000204371	Ankyrin repeat domain containing	3	22	1	0	0	0	1
NFKB1	ENSG00000109320	Ankyrin repeat domain containing	3	22	1	0	0	0	1
NFKB2	ENSG00000077150	Ankyrin repeat domain containing	3	22	1	0	0	0	1
SHANK3	ENSG00000251322	Ankyrin repeat domain containing	3	22	1	0	0	0	1
TRPV3	ENSG00000167723	Ankyrin repeat domain containing	2	22	1	0	0	0	1
TRPV5	ENSG00000127412	Ankyrin repeat domain containing	2	22	1	0	0	0	1
ANXA11	ENSG00000122359	Annexins	1	1	1	0	0	0	1
ANO4	ENSG00000151572	Anoctamins	1	3	1	0	0	0	1
ANO6	ENSG00000177119	Anoctamins	1	3	1	0	0	0	1
APOA1	ENSG00000118137	Apolipoproteins	1	5	1	0	0	0	1
APOA5	ENSG00000110243	Apolipoproteins	1	5	1	0	0	0	1
APOE	ENSG00000130203	Apolipoproteins	1	5	1	0	0	0	1
APOL1	ENSG00000100342	Apolipoproteins	1	5	1	0	0	0	1
CYC1	ENSG00000179091	Apoptosome	2	1	1	0	0	0	1
MIP	ENSG00000135517	Aquaporins	1	2	1	0	0	0	1
ARL13B	ENSG00000169379	ARF GTPase family	1	1	1	0	0	0	1
HEATR3	ENSG00000155393	Armadillo like helical domain containing	1	30	1	0	0	0	1
IQCB1	ENSG00000173226	Armadillo like helical domain containing	1	30	1	0	0	0	1
SERAC1	ENSG00000122335	Armadillo like helical domain containing	1	30	1	0	0	0	1
SIL1	ENSG00000120725	Armadillo like helical domain containing	1	30	1	0	0	0	1
UNC45B	ENSG00000141161	Armadillo like helical domain containing	1	30	1	0	0	0	1
DIAPH1	ENSG00000131504	Armadillo like helical domain containing	2	30	1	0	0	0	1
TAF6	ENSG00000106290	Armadillo like helical domain containing	2	30	1	0	0	0	1
TRIP12	ENSG00000153827	Armadillo like helical domain containing	2	30	1	0	0	0	1
HUWE1	ENSG00000086758	Armadillo like helical domain containing	3	30	1	0	0	0	1
STAG3	ENSG00000066923	Armadillo like helical domain containing	3	30	1	0	0	0	1
TELO2	ENSG00000100726	Armadillo like helical domain containing	2	30	1	0	0	0	1
USP9X	ENSG00000124486	Armadillo like helical domain containing	2	30	1	0	0	0	1
WDR81	ENSG00000167716	Armadillo like helical domain containing	4	30	1	0	0	0	1
WDFY3	ENSG00000163625	Armadillo like helical domain containing	4	30	1	0	0	0	1
ABCA12	ENSG00000144452	ATP binding cassette subfamily A	2	4	1	0	0	0	1
ABCB7	ENSG00000131269	ATP binding cassette subfamily B	1	3	1	0	0	0	1
ABCC2	ENSG00000023839	ATP binding cassette subfamily C	1	5	1	0	0	0	1
ABCG5	ENSG00000138075	ATP binding cassette subfamily G	1	2	1	0	0	0	1
ABCG8	ENSG00000143921	ATP binding cassette subfamily G	1	2	1	0	0	0	1
ATP5F1B	ENSG00000110955	ATPase F1/V1 alpha/A and beta/B subunit family	3	3	1	0	0	0	1
ATP6V1B2	ENSG00000147416	ATPase F1/V1 alpha/A and beta/B subunit family	2	3	1	0	0	0	1
ATP13A2	ENSG00000159363	ATPase orphan transporters	1	1	1	0	0	0	1
ATP8A2	ENSG00000132932	ATPase phospholipid transporting	1	7	1	0	0	0	1
ABCA12	ENSG00000144452	ATPase phospholipid transporting	2	7	1	0	0	0	1
ATP2B3	ENSG00000067842	ATPases Ca2+ transporting	2	3	1	0	0	0	1
ATP2B2	ENSG00000157087	ATPases Ca2+ transporting	2	3	1	0	0	0	1
RSPH1	ENSG00000160188	Axonemal radial spoke subunits	1	3	1	0	0	0	1
RSPH4A	ENSG00000111834	Axonemal radial spoke subunits	1	3	1	0	0	0	1
RSPH9	ENSG00000172426	Axonemal radial spoke subunits	1	3	1	0	0	0	1
B9D1	ENSG00000108641	B9 domain containing	3	3	1	0	0	0	1
SMARCA2	ENSG00000080503	BAF complex subunits	4	5	1	0	0	0	1
HAND2	ENSG00000164107	Basic helix-loop-helix proteins	1	9	1	0	0	0	1
TCF3	ENSG00000071564	Basic helix-loop-helix proteins	1	9	1	0	0	0	1
TWIST2	ENSG00000233608	Basic helix-loop-helix proteins	1	9	1	0	0	0	1
SREBF1	ENSG00000072310	Basic helix-loop-helix proteins	2	9	1	0	0	0	1
ATF6	ENSG00000118217	Basic leucine zipper proteins	1	1	1	0	0	0	1
BBS2	ENSG00000125124	BBSome	1	4	1	0	0	0	1
BBS5	ENSG00000163093	BBSome	1	4	1	0	0	0	1
BBS7	ENSG00000138686	BBSome	1	4	1	0	0	0	1
WDR81	ENSG00000167716	BEACH domain containing 	4	3	1	0	0	0	1
WDFY3	ENSG00000163625	BEACH domain containing 	4	3	1	0	0	0	1
LYST	ENSG00000143669	BEACH domain containing 	3	3	1	0	0	0	1
B3GALNT2	ENSG00000162885	Beta 3-glycosyltransferases	1	3	1	0	0	0	1
B3GLCT	ENSG00000187676	Beta 3-glycosyltransferases	1	3	1	0	0	0	1
B4GALNT1	ENSG00000135454	Beta 4-glycosyltransferases	1	2	1	0	0	0	1
B3GAT3	ENSG00000149541	"Beta-1,3-glucuronyltransferases"	1	1	1	0	0	0	1
CRYBA1	ENSG00000108255	Beta-gamma crystallins	1	3	1	0	0	0	1
HPS5	ENSG00000110756	Biogenesis of lysosomal organelles complex 2 	2	1	1	0	0	0	1
PGAM2	ENSG00000164708	Bisphosphoglycerate phosphatases	2	1	1	0	0	0	1
VPS13D	ENSG00000048707	Bridge-like lipid transfer protein family	2	2	1	0	0	0	1
BRD4	ENSG00000141867	Bromodomain and extra-terminal domain family	2	1	1	0	0	0	1
CREBBP	ENSG00000005339	Bromodomain containing	3	6	1	0	0	0	1
BRD4	ENSG00000141867	Bromodomain containing	2	6	1	0	0	0	1
TAF1	ENSG00000147133	Bromodomain containing	3	6	1	0	0	0	1
SMARCA2	ENSG00000080503	Bromodomain containing	4	6	1	0	0	0	1
KLHL24	ENSG00000114796	BTB domain containing	2	5	1	0	0	0	1
KLHL40	ENSG00000157119	BTB domain containing	2	5	1	0	0	0	1
ZBTB24	ENSG00000112365	BTB domain containing	2	5	1	0	0	0	1
HFE	ENSG00000010704	C1-set domain containing	1	1	1	0	0	0	1
RASA1	ENSG00000145715	C2 and RasGAP domain containing	3	2	1	0	0	0	1
CAPN5	ENSG00000149260	C2 domain containing	2	5	1	0	0	0	1
PLCB1	ENSG00000182621	C2 domain containing phospholipases	2	2	1	0	0	0	1
PLCZ1	ENSG00000139151	C2 domain containing phospholipases	3	2	1	0	0	0	1
PRKCD	ENSG00000163932	C2 domain containing protein kinases	2	1	1	0	0	0	1
CDHR1	ENSG00000148600	Cadherin related	1	5	1	0	0	0	1
DCHS1	ENSG00000166341	Cadherin related	1	5	1	0	0	0	1
PCDH15	ENSG00000150275	Cadherin related	2	5	1	0	0	0	1
CACNA1D	ENSG00000157388	Calcium voltage-gated channel alpha1 subunits	1	7	1	0	0	0	1
CACNA1E	ENSG00000198216	Calcium voltage-gated channel alpha1 subunits	2	7	1	0	0	0	1
CAPN5	ENSG00000149260	Calpains	2	2	1	0	0	0	1
CAMK2A	ENSG00000070808	CAMK2 family	1	3	1	0	0	0	1
CAMK2D	ENSG00000145349	CAMK2 family	1	3	1	0	0	0	1
DLL4	ENSG00000128917	Canonical Notch ligands	1	2	1	0	0	0	1
JAG1	ENSG00000101384	Canonical Notch ligands	3	2	1	0	0	0	1
CA2	ENSG00000104267	Carbonic anhydrases	1	3	1	0	0	0	1
CA12	ENSG00000074410	Carbonic anhydrases	1	3	1	0	0	0	1
QRICH1	ENSG00000198218	Caspase recruitment domain containing	1	8	1	0	0	0	1
CRADD	ENSG00000169372	Caspase recruitment domain containing	2	8	1	0	0	0	1
CARD14	ENSG00000141527	Caspase recruitment domain containing	3	8	1	0	0	0	1
NLRC4	ENSG00000091106	Caspase recruitment domain containing	2	8	1	0	0	0	1
NLRP1	ENSG00000091592	Caspase recruitment domain containing	3	8	1	0	0	0	1
CRADD	ENSG00000169372	Caspase-2 PIDDosome complex	2	1	1	0	0	0	1
CTSC	ENSG00000109861	Cathepsins	1	3	1	0	0	0	1
CTSD	ENSG00000117984	Cathepsins	2	3	1	0	0	0	1
NT5E	ENSG00000135318	CD molecules	2	45	1	0	0	0	1
CSF3R	ENSG00000119535	CD molecules	2	45	1	0	0	0	1
IL6ST	ENSG00000134352	CD molecules	3	45	1	0	0	0	1
IFNGR1	ENSG00000027697	CD molecules	2	45	1	0	0	0	1
IL2RB	ENSG00000100385	CD molecules	2	45	1	0	0	0	1
IL10RA	ENSG00000110324	CD molecules	2	45	1	0	0	0	1
EPCAM	ENSG00000119888	CD molecules	2	45	1	0	0	0	1
JAG1	ENSG00000101384	CD molecules	3	45	1	0	0	0	1
PROM1	ENSG00000007062	CD molecules	2	45	1	0	0	0	1
CDH2	ENSG00000170558	CD molecules	2	45	1	0	0	0	1
ALK	ENSG00000171094	CD molecules	2	45	1	0	0	0	1
BMPR1B	ENSG00000138696	CD molecules	2	45	1	0	0	0	1
CEACAM16	ENSG00000213892	CEA cell adhesion molecule family	2	1	1	0	0	0	1
CCN6	ENSG00000112761	Cellular communication network factors	1	1	1	0	0	0	1
CLPB	ENSG00000162129	Chaperonins	3	4	1	0	0	0	1
CHRNG	ENSG00000196811	Cholinergic receptors nicotinic subunits	1	5	1	0	0	0	1
CELA2A	ENSG00000142615	Chymotrypsin like elastases	1	1	1	0	0	0	1
CCDC39	ENSG00000284862	Cilia and flagella associated	1	9	1	0	0	0	1
ATP2B3	ENSG00000067842	Cilia and flagella associated	2	9	1	0	0	0	1
CFAP43	ENSG00000197748	Cilia and flagella associated	2	9	1	0	0	0	1
CLDN16	ENSG00000113946	Claudins	1	2	1	0	0	0	1
CLDN19	ENSG00000164007	Claudins	1	2	1	0	0	0	1
COPA	ENSG00000122218	Coat protein complex I	3	1	1	0	0	0	1
SEC23B	ENSG00000101310	Coat protein complex II	1	1	1	0	0	0	1
STAG3	ENSG00000066923	Cohesin complex	3	2	1	0	0	0	1
CHCHD10	ENSG00000250479	Coiled-coil-helix-coiled-coil-helix domain containing proteins	1	1	1	0	0	0	1
COL9A1	ENSG00000112280	Collagen proteoglycans	2	3	1	0	0	0	1
COL9A2	ENSG00000049089	Collagen proteoglycans	2	3	1	0	0	0	1
COL12A1	ENSG00000111799	Collagen proteoglycans	3	3	1	0	0	0	1
COL6A2	ENSG00000142173	Collagens	1	4	1	0	0	0	1
SFTPA2	ENSG00000185303	Collectins	2	2	1	0	0	0	1
COLEC11	ENSG00000118004	Collectins	3	2	1	0	0	0	1
C8B	ENSG00000021852	Complement system activation components	2	6	1	0	0	0	1
COLEC11	ENSG00000118004	Complement system activation components	3	6	1	0	0	0	1
C2	ENSG00000166278	Complement system activation components	2	6	1	0	0	0	1
C6	ENSG00000039537	Complement system activation components	3	6	1	0	0	0	1
C7	ENSG00000112936	Complement system activation components	3	6	1	0	0	0	1
CNTNAP2	ENSG00000174469	Contactin associated protein family	1	1	1	0	0	0	1
VPS11	ENSG00000160695	CORVET complex	3	1	1	0	0	0	1
SFTPA2	ENSG00000185303	C-type lectin domain containing	2	4	1	0	0	0	1
COLEC11	ENSG00000118004	C-type lectin domain containing	3	4	1	0	0	0	1
CUL4B	ENSG00000158290	Cullins	1	2	1	0	0	0	1
CUL7	ENSG00000044090	Cullins	2	2	1	0	0	0	1
CNGA1	ENSG00000198515	Cyclic nucleotide gated channels	1	4	1	0	0	0	1
CDK8	ENSG00000132964	Cyclin dependent kinases	2	5	1	0	0	0	1
CDK10	ENSG00000185324	Cyclin dependent kinases	3	5	1	0	0	0	1
CCND2	ENSG00000118971	Cyclins	1	1	1	0	0	0	1
PPIB	ENSG00000166794	Cyclophilin peptidylprolyl isomerases	1	1	1	0	0	0	1
CSTB	ENSG00000160213	"Cystatins, type 1"	1	1	1	0	0	0	1
CYP11A1	ENSG00000140459	Cytochrome P450 family 11	1	3	1	0	0	0	1
CYP11B2	ENSG00000179142	Cytochrome P450 family 11	1	3	1	0	0	0	1
CYP2R1	ENSG00000186104	Cytochrome P450 family 2	1	2	1	0	0	0	1
CYP26C1	ENSG00000187553	Cytochrome P450 family 26	1	1	1	0	0	0	1
CYP4V2	ENSG00000145476	Cytochrome P450 family 4	1	2	1	0	0	0	1
FGD1	ENSG00000102302	Dbl family Rho GEFs	3	5	1	0	0	0	1
ARHGEF9	ENSG00000131089	Dbl family Rho GEFs	2	5	1	0	0	0	1
DDX6	ENSG00000110367	DEAD-box helicases	1	5	1	0	0	0	1
EIF4A2	ENSG00000156976	DEAD-box helicases	3	5	1	0	0	0	1
DHX30	ENSG00000132153	DEAH-box helicases	2	6	1	0	0	0	1
NUS1	ENSG00000153989	Dehydrodolichyl diphosphate synthase 	1	2	1	0	0	0	1
DHDDS	ENSG00000117682	Dehydrodolichyl diphosphate synthase 	1	2	1	0	0	0	1
DVL1	ENSG00000107404	DEP domain containing	4	2	1	0	0	0	1
DVL1	ENSG00000107404	Dishevelled segment polarity proteins	4	1	1	0	0	0	1
IFITM5	ENSG00000206013	Dispanins	2	2	1	0	0	0	1
POLG2	ENSG00000256525	DNA polymerases	1	6	1	0	0	0	1
TRMT1	ENSG00000104907	DNA/RNA methyltransferases	3	7	1	0	0	0	1
FTSJ1	ENSG00000068438	DNA/RNA methyltransferases	2	7	1	0	0	0	1
NSUN2	ENSG00000037474	DNA/RNA methyltransferases	2	7	1	0	0	0	1
TRMT10A	ENSG00000145331	DNA/RNA methyltransferases	2	7	1	0	0	0	1
DNAJB2	ENSG00000135924	DNAJ (HSP40) heat shock proteins	1	5	1	0	0	0	1
DNAJB5	ENSG00000137094	DNAJ (HSP40) heat shock proteins	1	5	1	0	0	0	1
DNAJB6	ENSG00000105993	DNAJ (HSP40) heat shock proteins	1	5	1	0	0	0	1
DNAJC5	ENSG00000101152	DNAJ (HSP40) heat shock proteins	2	5	1	0	0	0	1
ALG12	ENSG00000182858	Dolichyl D-mannosyl phosphate dependent mannosyltransferases	1	6	1	0	0	0	1
PIGV	ENSG00000060642	Dolichyl D-mannosyl phosphate dependent mannosyltransferases	2	6	1	0	0	0	1
DNAH10	ENSG00000197653	"Dyneins, axonemal inner arm I1/f complex subunits"	1	1	1	0	0	0	1
DNAI1	ENSG00000122735	"Dyneins, axonemal outer arm complex subunits"	2	3	1	0	0	0	1
CACNA1E	ENSG00000198216	EF-hand domain containing	2	23	1	0	0	0	1
MICU1	ENSG00000107745	EF-hand domain containing	2	23	1	0	0	0	1
PLS3	ENSG00000102024	EF-hand domain containing	2	23	1	0	0	0	1
SELENON	ENSG00000162430	EF-hand domain containing	2	23	1	0	0	0	1
SLC25A24	ENSG00000085491	EF-hand domain containing	2	23	1	0	0	0	1
SLC25A25	ENSG00000148339	EF-hand domain containing	2	23	1	0	0	0	1
LETM1	ENSG00000168924	EF-hand domain containing	2	23	1	0	0	0	1
TNNC1	ENSG00000114854	EF-hand domain containing	2	23	1	0	0	0	1
PLCZ1	ENSG00000139151	EF-hand domain containing	3	23	1	0	0	0	1
CALM2	ENSG00000143933	EF-hand domain containing	3	23	1	0	0	0	1
CALM3	ENSG00000160014	EF-hand domain containing	3	23	1	0	0	0	1
ELP2	ENSG00000134759	Elongator acetyltransferase complex 	2	1	1	0	0	0	1
ENO3	ENSG00000108515	Enolases	1	1	1	0	0	0	1
EFNB1	ENSG00000090776	Ephrins	1	1	1	0	0	0	1
EMC1	ENSG00000127463	ER membrane protein complex subunits	1	1	1	0	0	0	1
ERCC1	ENSG00000012061	ERCC excision repair associated	1	7	1	0	0	0	1
ELF4	ENSG00000102034	ETS transcription factor family	1	4	1	0	0	0	1
ERF	ENSG00000105722	ETS transcription factor family	1	4	1	0	0	0	1
EXOSC9	ENSG00000123737	Exosome complex	1	2	1	0	0	0	1
EXTL3	ENSG00000012232	Exostosin glycosyltransferase family	1	2	1	0	0	0	1
RAD51	ENSG00000051180	FA complementation groups	1	14	1	0	0	0	1
FANCF	ENSG00000183161	FA complementation groups	2	14	1	0	0	0	1
FANCF	ENSG00000183161	FA core complex	2	5	1	0	0	0	1
FASTKD2	ENSG00000118246	FASTK mitochondrial RNA binding family	2	1	1	0	0	0	1
PMP2	ENSG00000147588	Fatty acid binding protein family	1	1	1	0	0	0	1
AGMO	ENSG00000187546	Fatty acid hydroxylase domain containing	1	2	1	0	0	0	1
FBXL4	ENSG00000112234	F-box and leucine rich repeat proteins	1	1	1	0	0	0	1
FBXO7	ENSG00000100225	F-boxes other	1	1	1	0	0	0	1
MSN	ENSG00000147065	FERM domain containing	1	9	1	0	0	0	1
JAK1	ENSG00000162434	FERM domain containing	2	9	1	0	0	0	1
FERMT3	ENSG00000149781	FERM domain containing	3	9	1	0	0	0	1
NF2	ENSG00000186575	FERM domain containing	2	9	1	0	0	0	1
JAK2	ENSG00000096968	FERM domain containing	3	9	1	0	0	0	1
FERMT3	ENSG00000149781	Fermitins	3	1	1	0	0	0	1
COL12A1	ENSG00000111799	Fibril associated collagens with interrupted triple helices	3	3	1	0	0	0	1
COL9A1	ENSG00000112280	Fibril associated collagens with interrupted triple helices	2	3	1	0	0	0	1
COL9A2	ENSG00000049089	Fibril associated collagens with interrupted triple helices	2	3	1	0	0	0	1
COL11A1	ENSG00000060718	Fibrillar collagens	1	7	1	0	0	0	1
FGA	ENSG00000171560	Fibrinogen C domain containing	3	2	1	0	0	0	1
FGA	ENSG00000171560	Fibrinogen chains	3	2	1	0	0	0	1
FGF12	ENSG00000114279	Fibroblast growth factor family	1	3	1	0	0	0	1
FGF9	ENSG00000102678	Fibroblast growth factor family	2	3	1	0	0	0	1
COL12A1	ENSG00000111799	Fibronectin type III domain containing	3	17	1	0	0	0	1
CDON	ENSG00000064309	Fibronectin type III domain containing	2	17	1	0	0	0	1
DCC	ENSG00000187323	Fibronectin type III domain containing	3	17	1	0	0	0	1
CSF3R	ENSG00000119535	Fibronectin type III domain containing	2	17	1	0	0	0	1
IL6ST	ENSG00000134352	Fibronectin type III domain containing	3	17	1	0	0	0	1
MERTK	ENSG00000153208	Fibronectin type III domain containing	3	17	1	0	0	0	1
FLNA	ENSG00000196924	Filamin family	1	3	1	0	0	0	1
FLNB	ENSG00000136068	Filamin family	1	3	1	0	0	0	1
ACOX1	ENSG00000161533	Flavoproteins	1	42	1	0	0	0	1
ACOX2	ENSG00000168306	Flavoproteins	1	42	1	0	0	0	1
AIFM1	ENSG00000156709	Flavoproteins	1	42	1	0	0	0	1
FLAD1	ENSG00000160688	Flavoproteins	1	42	1	0	0	0	1
GFER	ENSG00000127554	Flavoproteins	1	42	1	0	0	0	1
IYD	ENSG00000009765	Flavoproteins	1	42	1	0	0	0	1
MTO1	ENSG00000135297	Flavoproteins	1	42	1	0	0	0	1
PYROXD1	ENSG00000121350	Flavoproteins	1	42	1	0	0	0	1
SUGCT	ENSG00000175600	Flavoproteins	1	42	1	0	0	0	1
COQ6	ENSG00000119723	Flavoproteins	1	42	1	0	0	0	1
D2HGDH	ENSG00000180902	Flavoproteins	1	42	1	0	0	0	1
DHCR24	ENSG00000116133	Flavoproteins	1	42	1	0	0	0	1
DMGDH	ENSG00000132837	Flavoproteins	1	42	1	0	0	0	1
NDUFA9	ENSG00000139180	Flavoproteins	3	42	1	0	0	0	1
ACAD8	ENSG00000151498	Flavoproteins	2	42	1	0	0	0	1
FOXE3	ENSG00000186790	Forkhead boxes	1	7	1	0	0	0	1
FOXP2	ENSG00000128573	Forkhead boxes	2	7	1	0	0	0	1
DIAPH1	ENSG00000131504	Formins	2	2	1	0	0	0	1
GNA11	ENSG00000088256	"G protein subunits alpha, group q"	1	1	1	0	0	0	1
GNB5	ENSG00000069966	G protein subunits beta	2	1	1	0	0	0	1
GRK1	ENSG00000185974	G protein-coupled receptor kinase family	1	1	1	0	0	0	1
FZD2	ENSG00000180340	"G protein-coupled receptors, Class F frizzled"	1	3	1	0	0	0	1
NAGA	ENSG00000198951	Galactosidases alpha	1	2	1	0	0	0	1
GABRA1	ENSG00000022355	Gamma-aminobutyric acid type A receptor subunits	1	6	1	0	0	0	1
GABRA5	ENSG00000186297	Gamma-aminobutyric acid type A receptor subunits	1	6	1	0	0	0	1
GABRD	ENSG00000187730	Gamma-aminobutyric acid type A receptor subunits	1	6	1	0	0	0	1
GABBR2	ENSG00000136928	Gamma-aminobutyric acid type B receptor subunits	1	1	1	0	0	0	1
GJA4	ENSG00000187513	Gap junction proteins	1	6	1	0	0	0	1
GJB6	ENSG00000121742	Gap junction proteins	1	6	1	0	0	0	1
GJC2	ENSG00000198835	Gap junction proteins	1	6	1	0	0	0	1
GATA3	ENSG00000107485	GATA zinc finger domain containing	1	5	1	0	0	0	1
GATAD2B	ENSG00000143614	GATA zinc finger domain containing	1	5	1	0	0	0	1
